trial,learning_rate,batch_size,eval_f1
0,4.969782981573154e-05,8,0.8715087993935422
1,2.7006650776941293e-05,8,0.8660562522460502
2,3.7457312713595616e-05,32,0.8617529028125809
3,1.3885691295999033e-05,16,0.8681731202886412
4,3.9927276858059454e-05,8,0.8661861629815268
5,4.854571858839557e-05,8,0.8689066907663265
6,1.7944609609722222e-05,8,0.8703742185639671
7,3.9566779530697805e-05,16,0.8666117103037264
8,1.3595605961367065e-05,8,0.865901208661208
9,2.7234912045317437e-05,16,0.8632115589017992
