trial,C,kernel,gamma,f1
0,4.387882964445302,linear,-,0.79107915332774
1,2.098953026461924,rbf,0.23738290751100108,0.8123114300913109
2,3.7487458105046616,linear,-,0.7926555512273828
3,0.10935078786544242,rbf,0.011413292441671344,0.13048780487804879
4,0.5491338245252411,rbf,0.0012193140525577557,0.13048780487804879
5,0.03185094911069292,rbf,0.2444033377045909,0.13048780487804879
6,3.70463749817596,linear,-,0.7926555512273828
7,1.0900386398353286,rbf,0.025694724531725215,0.7228460876559373
8,5.384854013005651,linear,-,0.7875427660623119
9,0.12570559995054956,linear,-,0.7765105499161906
10,0.013313269499189028,rbf,0.9991399639228455,0.13048780487804879
11,1.4128978726154622,linear,-,0.8079611843492198
12,1.0728927164663,linear,-,0.8148569732099666
13,0.317704123724008,rbf,0.00017428648037776706,0.13048780487804879
14,0.9551711273855341,linear,-,0.8114283349179464
15,9.901970010990208,rbf,0.08409665004651846,0.8061632865682169
16,1.8466164625330976,rbf,0.8813783165414535,0.8106704749889804
17,0.22078240121264864,linear,-,0.8038436956124574
18,0.5229924649657928,rbf,0.001557427964293761,0.13048780487804879
19,2.163059120386065,linear,-,0.7971360715032476
